current,voltage,capacity
1299.8,3.4737,22.4
1299.8,3.474,22.4
1299.8,3.474,22.5
1299.8,3.4743,22.5
1299.8,3.4743,22.6
1299.8,3.4747,22.6
1299.8,3.475,22.6
1299.8,3.475,22.7
1299.8,3.4753,22.7
1299.8,3.4753,22.7
1299.8,3.4756,22.8
1299.8,3.4759,22.8
1299.8,3.4759,22.8
1299.8,3.4762,22.9
1299.8,3.4762,22.9
1299.8,3.4765,22.9
1299.8,3.4765,23
1299.8,3.4768,23
1299.8,3.4771,23.1
1299.8,3.4771,23.1
1299.8,3.4774,23.1
1299.8,3.4774,23.2
1299.8,3.4778,23.2
1299.8,3.4778,23.2
1299.8,3.4781,23.3
1299.8,3.4781,23.3
1299.8,3.4784,23.3
1299.8,3.4784,23.4
1299.8,3.4787,23.4
1299.8,3.479,23.5
1299.8,3.479,23.5
1299.8,3.4793,23.5
1299.8,3.4793,23.6
1299.8,3.4799,23.6
1299.8,3.4799,23.6
1299.8,3.4802,23.7
1299.8,3.4802,23.7
1299.8,3.4805,23.7
1299.8,3.4805,23.8
1299.8,3.4809,23.8
1299.8,3.4809,23.9
1299.8,3.4812,23.9
1299.8,3.4812,23.9
1299.8,3.4815,24
1299.8,3.4815,24
1299.8,3.4818,24
1299.8,3.4821,24.1
1299.8,3.4821,24.1
1299.8,3.4824,24.1
1299.8,3.4824,24.2
1299.8,3.4827,24.2
1299.8,3.4827,24.2
1299.8,3.483,24.3
1299.8,3.483,24.3
1299.8,3.4833,24.4
1299.8,3.4833,24.4
1299.8,3.4836,24.4
1299.8,3.4836,24.5
1299.8,3.484,24.5
1299.8,3.4843,24.5
1299.8,3.4843,24.6
1299.8,3.4846,24.6
1299.8,3.4846,24.6
1299.8,3.4849,24.7
1299.8,3.4849,24.7
1299.8,3.4852,24.8
1299.8,3.4852,24.8
1299.8,3.4855,24.8
1299.8,3.4855,24.9
1299.8,3.4858,24.9
1299.8,3.4858,24.9
1299.8,3.4861,25
1299.8,3.4864,25
1299.8,3.4864,25
1299.8,3.4867,25.1
1299.8,3.4867,25.1
1299.8,3.4874,25.2
1299.8,3.4874,25.2
1299.8,3.4877,25.2
1299.8,3.4877,25.3
1299.8,3.488,25.3
1299.8,3.488,25.3
1299.8,3.4883,25.4
1299.8,3.4883,25.4
1299.8,3.4886,25.4
1299.8,3.4886,25.5
1299.8,3.4889,25.5
1299.8,3.4889,25.5
1299.8,3.4892,25.6
1299.8,3.4892,25.6
1299.8,3.4895,25.7
1299.8,3.4895,25.7
1299.8,3.4898,25.7
1299.8,3.4898,25.8
1299.8,3.4902,25.8
1299.8,3.4902,25.8
1299.8,3.4905,25.9
1299.8,3.4905,25.9
1299.8,3.4908,25.9
1299.8,3.4911,26
1299.8,3.4911,26
1299.8,3.4914,26.1
1299.8,3.4914,26.1
1299.8,3.4917,26.1
1299.8,3.4917,26.2
1299.8,3.492,26.2
1299.8,3.492,26.2
1299.8,3.4923,26.3
1299.8,3.4923,26.3
1299.8,3.4926,26.3
1299.8,3.4926,26.4
1299.8,3.4926,26.4
1299.8,3.4929,26.4
1299.8,3.4929,26.5
1299.8,3.4933,26.5
1299.8,3.4933,26.6
1299.8,3.4936,26.6
1299.8,3.4936,26.6
1299.8,3.4939,26.7
1299.8,3.4945,26.7
1299.8,3.4945,26.7
1299.8,3.4948,26.8
1299.8,3.4948,26.8
1299.8,3.4951,26.8
1299.8,3.4951,26.9
1299.8,3.4954,26.9
1299.8,3.4954,27
1299.8,3.4957,27
1299.8,3.4957,27
1299.8,3.496,27.1
1299.8,3.496,27.1
1299.8,3.4964,27.1
1299.8,3.4964,27.2
1299.8,3.4964,27.2
1299.8,3.4967,27.2
1299.8,3.4967,27.3
1299.8,3.497,27.3
1299.8,3.4973,27.4
1299.8,3.4973,27.4
1299.8,3.4976,27.4
1299.8,3.4976,27.5
1299.8,3.4976,27.5
1299.8,3.4979,27.5
1299.8,3.4979,27.6
1299.8,3.4982,27.6
1299.8,3.4982,27.6
1299.8,3.4985,27.7
1299.8,3.4985,27.7
1299.8,3.4988,27.7
1299.8,3.4988,27.8
1299.8,3.4991,27.8
1299.8,3.4991,27.9
1299.8,3.4995,27.9
1299.8,3.4995,27.9
1299.8,3.4998,28
1299.8,3.4998,28
1299.8,3.5001,28
1299.8,3.5001,28.1
1299.8,3.5004,28.1
1299.8,3.5004,28.1
1299.8,3.5007,28.2
1299.8,3.5007,28.2
1299.8,3.501,28.3
1299.8,3.501,28.3
1299.8,3.5016,28.3
1299.8,3.5016,28.4
1299.8,3.5019,28.4
1299.8,3.5019,28.4
1299.8,3.5022,28.5
1299.8,3.5022,28.5
1299.8,3.5026,28.5
1299.8,3.5026,28.6
1299.8,3.5029,28.6
1299.8,3.5029,28.7
1299.8,3.5032,28.7
1299.8,3.5032,28.7
1299.8,3.5032,28.8
1299.8,3.5035,28.8
1299.8,3.5035,28.8
1299.8,3.5038,28.9
1299.8,3.5038,28.9
1299.8,3.5041,28.9
1299.8,3.5041,29
1299.8,3.5044,29
1299.8,3.5044,29
1299.8,3.5047,29.1
1299.8,3.5047,29.1
1299.8,3.505,29.2
1299.8,3.505,29.2
1299.8,3.5053,29.2
1299.8,3.5053,29.3
1299.8,3.5053,29.3
1299.8,3.5057,29.3
1299.8,3.506,29.4
1299.8,3.506,29.4
1299.8,3.506,29.4
1299.8,3.5063,29.5
1299.8,3.5063,29.5
1299.8,3.5066,29.6
1299.8,3.5066,29.6
1299.8,3.5066,29.6
1299.8,3.5069,29.7
1299.8,3.5069,29.7
1299.8,3.5072,29.7
1299.8,3.5072,29.8
1299.8,3.5075,29.8
1299.8,3.5075,29.8
1299.8,3.5078,29.9
1299.8,3.5078,29.9
1299.8,3.5081,29.9
1299.8,3.5081,30
1299.8,3.5088,30
1299.8,3.5088,30.1
1299.8,3.5091,30.1
1299.8,3.5091,30.1
1299.8,3.5094,30.2
1299.8,3.5094,30.2
1299.8,3.5097,30.2
1299.8,3.5097,30.3
1299.8,3.51,30.3
1299.8,3.51,30.3
1299.8,3.5103,30.4
1299.8,3.5103,30.4
1299.8,3.5106,30.5
1299.8,3.5106,30.5
1299.8,3.5109,30.5
1299.8,3.5109,30.6
1299.8,3.5109,30.6
1299.8,3.5112,30.6
1299.8,3.5112,30.7
1299.8,3.5115,30.7
1299.8,3.5115,30.7
1299.8,3.5119,30.8
1299.8,3.5119,30.8
1299.8,3.5119,30.9
1299.8,3.5122,30.9
1299.8,3.5122,30.9
1299.8,3.5125,31
1299.8,3.5125,31
1299.8,3.5128,31
1299.8,3.5128,31.1
1299.8,3.5131,31.1
1299.8,3.5131,31.1
1299.8,3.5131,31.2
1299.8,3.5134,31.2
1299.8,3.5134,31.2
1299.8,3.5137,31.3
1299.8,3.5137,31.3
1299.8,3.514,31.4
1299.8,3.514,31.4
1299.8,3.5143,31.4
1299.8,3.5143,31.5
1299.8,3.5143,31.5
1299.8,3.5146,31.5
1299.8,3.5146,31.6
1299.8,3.515,31.6
1299.8,3.515,31.6
1299.8,3.5153,31.7
1299.8,3.5153,31.7
1299.8,3.5159,31.8
1299.8,3.5159,31.8
1299.8,3.5162,31.8
1299.8,3.5162,31.9
1299.8,3.5162,31.9
1299.8,3.5165,31.9
1299.8,3.5165,32
1299.8,3.5168,32
1299.8,3.5168,32
1299.8,3.5171,32.1
1299.8,3.5171,32.1
1299.8,3.5171,32.2
1299.8,3.5174,32.2
1299.8,3.5174,32.2
1299.8,3.5177,32.3
1299.8,3.5177,32.3
1299.8,3.5181,32.3
1299.8,3.5181,32.4
1299.8,3.5184,32.4
1299.8,3.5184,32.4
1299.8,3.5184,32.5
1299.8,3.5187,32.5
1299.8,3.5187,32.5
1299.8,3.519,32.6
1299.8,3.519,32.6
1299.8,3.5193,32.7
1299.8,3.5193,32.7
1299.8,3.5196,32.7
1299.8,3.5196,32.8
1299.8,3.5196,32.8
1299.8,3.5199,32.8
1299.8,3.5199,32.9
1299.8,3.5202,32.9
1299.8,3.5202,32.9
1299.8,3.5205,33
1299.8,3.5205,33
1299.8,3.5205,33.1
